"insCode","instrumentID","cValMne","lVal18","cSocCSAC","lVal18AFC","lVal30","cIsin","dEven","flow","lSoc30","CGdSVal","cgrValCot","yMarNSC","cComVal","cSecVal","cSoSecVal","yVal"
"1771069330721898","IRR7PJHP0101","PJHX1","Jahrom Petro.-R","PJHP","جهرمح","ح.پتروشیمی جهرم","IRR7PJHP0102","20220412","4","پتروشیمی جهرم","A","P1","NO","7","44","4411","404"
"1775538989481366","IRO6MSKZ0051","MZ321","Mortgage Right0005","MSKZ","تسه0005","امتیازتسهیلات مسکن مرداد 1400","IRO6MSKZ0055","20230717","2","بانک مسکن","A","M1","NO","4","59","5910","307"
"1778142796834142","IRO6MELZ9831","TM171","Melli Mortgage1906","MELZ","تملی803","تسهیلات مسکن ب. ملی-خرداد98","IRO6MELZ9838","20230702","2","تسهیلات مسکن بانک ملی ایران","A","M1","NO","4","59","5910","307"
"1806692551822666","IRB3AL010251","AL1Q1","AlborzNr.IJR230805","AL01","البرز02","اجاره ریلی البرزنیرو14020514","IRB3AL010258","20230607","2","تجهیزات ناوگان ریلی البرزنیرو","A","17","NO","4","69","6910","306"
"1808967844081601","IRO3ZF460001","ZF461","Nosaz Services","ZF46","خدمات نوساز","ساختمان و خدمات نوساز","IRO3ZF460000","20220108","2","ساختمان و خدمات نوساز","A","Z1","NO","5","55","5510","303"
"1811292893243712","IRB1QM040001","QM4Q1","Quotes 04","QM04","مظنه4","مظنه پذیره4- اوراق منفعت دولت","IRB1QM040001","20220525","2","مظنه پذیره نویسی اوراق دولتی4","A","18","NO","4","69","6946","402"
"1822787329898392","IRO3CHPZ0001","CHPZ1","Chlor Pars","CHPZ","کلر","کلر پارس","IRO3CHPZ0009","20230917","2","کلر پارس","A","1Z","NO","1","44","4411","303"
"1831214548277647","IRO6MSKZ9831","MZ061","Mortgage Right9803","MSKZ","تسه9803","امتیاز تسهیلات مسکن خرداد98","IRO6MSKZ9833","20210630","2","بانک مسکن","A","17","NO","4","59","5910","307"
"1852132120586484","IRR1INDM0101","INDX1","Indamin-R","INDM","خکمکح","ح . کمک فنرایندامین","IRR1INDM0108","20230918","1","کمک فنرایندامین","A","N1","NO","3","34","3430","400"
"1860384396424573","IRR1SHSI0101","SHSX1","Sina Chem. Ind.-R","SHSI","شسیناح","ح . صنایع شیمیایی سینا","IRR1SHSI0103","20230111","1","صنایع شیمیایی سینا","A","N1","NO","3","44","4411","400"
"1911343624441437","IRR1OFOG0101","OFOX1","Ofogh Koorosh-R","OFOG","افقح","ح .فروشگاه زنجیره ای افق کوروش","IRR1OFOG0105","20210220","1","فروشگاههای زنجیره ای افق کوروش","A","N2","NO","5","47","4711","400"
"1931037287459558","IRR1MOTJ0101","MOTX1","Motogen-R","MOTJ","بموتوح","ح . موتوژن","IRR1MOTJ0108","20230909","1","موتوژن","A","N1","NO","1","31","3110","400"
"1982233425566381","IRB3TB329791","TB321","TreasuryBill181211","TB32","اخزا701","اسنادخزانه-م1بودجه97-970920","IRB3TB329790","20180826","2","اسنادخزانه اسلامی-م1بودجه1397","A","I1","NO","4","69","6940","306"
"2019449432639594","IRT3PDUF0001","PDUF1","Petro Dariush ETF","PDUF","پتروداریوش","صندوق س. بخشی پترو داریوش-ب","IRT3PDUF0004","20230812","2","صندوق س. بخشی پترو داریوش","A","T1","NO","4","68","6819","305"
"2050740941534952","IRR1ALMR0101","ALMX1","Alomrad-R","ALMR","فمرادح","ح . آلومراد","IRR1ALMR0102","20200823","1","آلومراد","A","N2","NO","5","27","2720","400"
"2122354233695079","IRR1SBHN0101","SBHX1","Behbahan Cement-R","SBHN","سبهانح","ح . سیمان  بهبهان","IRR1SBHN0105","20230918","1","سیمان  بهبهان","A","N1","NO","3","53","5394","400"
"2135047529277416","IRR3ETLZ0101","ETLX1","Alborz Invest.-R","ETLZ","اعتلاح","ح سرمایه گذاری اعتلاء البرز","IRR3ETLZ0109","20230830","2","شرکت سرمایه گذاری اعتلاء البرز","A","16","NO","3","56","5699","403"
"2147129961448440","IRO6MELZ97C1","TM141","Melli Mortgage1903","MELZ","تملی712","تسهیلات مسکن ب. ملی-اسفند97","IRO6MELZ97C6","20230702","2","تسهیلات مسکن بانک ملی ایران","A","M1","NO","4","59","5910","307"
"2149279845014433","IRR1FGMS0101","FGMX1","Mashad Food-R","FGMS","غمشهدح","ح . فرآورده های  غذایی  مشهد","IRR1FGMS0103","20081126","1","فرآورده های  غذایی  مشهد","A","N4","NO","4","42","4299","400"
"2161110547458064","IRT3SEDF0001","SEDF1","Sepid Damavand ETF","SEDF","سپیدما","صندوق س. سپید دماوند-د","IRT3SEDF0001","20230702","2","صندوق س. سپید دماوند","A","1A","NO","4","68","6812","305"
"2254054929817435","IRO1KDPS0001","KDPS1","P. Animal Feed","KDPS","غدام","خوراک   دام  پارس","IRO1KDPS0004","20230917","1","خوراک  دام  پارس","A","N2","NO","5","42","4233","300"
"2262715289665960","IRR1RADI0101","RADX1","Iran Radiator-R","RADI","ختورح","ح . رادیاتور ایران","IRR1RADI0108","20230918","1","رادیاتور ایران","A","N1","NO","1","34","3430","400"
"2287142185257795","IROTMAKH0001","MAKH1","Makhmal Kashan","MAKH","نمخمل","مخمل و ابریشم کاشان","IROTMAKH0007","20230904","2","کارخانجات مخمل و ابریشم کاشان","A","OT","NO","7","17","1711","319"
"2318736941376687","IRO7SDRP0001","SDRP1","SADRA","SDRP","خصدرا","صنعتی  دریایی  ایران","IRO7SDRP0001","20230917","4","صنعتی  دریایی  ایران","A","P1","NO","7","45","4520","309"
"2328862017676109","IRO1SPAH0001","SPAH1","Sepah Inv.","SPAH","وسپه","سرمایه گذاری  سپه","IRO1SPAH0002","20230917","1","سرمایه گذاری  سپه","A","N1","NO","1","56","5699","300"
"2334276998450282","IRR7MILP0101","MILX1","Ahan&Folad Co-R","MILP","بمیلاح","ح.توسعه سرمایه گذاری میلادپارس","IRR7MILP0100","20230131","4","توسعه سرمایه گذاری میلاد پارس","A","P1","NO","7","46","4610","404"
"2362491091971813","IRR1TMEL0101","TMEX1","Tosee Melli Inv-R","TMEL","وتوسمح","ح . سرمایه گذاری توسعه ملی","IRR1TMEL0106","20171213","1","سرمایه گذاری توسعه ملی","A","N1","NO","3","56","5699","400"
"2400322364771558","IRO1TAMN0001","TAMN1","Social Sec Inv","TAMN","شستا","سرمایه گذاری تامین اجتماعی","IRO1TAMN0006","20230917","1","سرمایه گذاری تامین اجتماعی","A","N2","NO","5","39","3999","300"
"2427436944707298","IRO7KISP0001","KISP1","IRAN KISH","KISP","رکیش","کارت اعتباری ایران کیش","IRO7KISP0003","20120115","2","کارت اعتباری ایران کیش","A","P1","NO","7","72","7220","309"
"2432718060936300","IRO1SAKH0201","SK021","Iran Const. Inv2","SAKH","وساخت عمده2","س. ساختمان ایران عمده2","IRO1SAKH0205","20230917","1","سرمایه گذاری ساختمان ایران","A","91","NO","1","70","7099","300"
"2434703913394836","IRO1DMOR0001","DMOR1","Dasht Morghab","DMOR","غدشت","دشت  مرغاب","IRO1DMOR0004","20230917","1","دشت  مرغاب","A","N2","NO","5","42","4213","300"
"2436557798493124","IRR1SNGH0101","SNGX1","Naghshiran Grp.-R","SNGH","ننقشح","ح . گروه  صنعتی  نقش  ایران","IRR1SNGH0100","20081126","1","گروه  صنعتی  نقش  ایران","A","N4","NO","4","17","1722","400"
"2501017203331667","IRR1DPAK0101","DPAX1","Daroupakhsh P.-R","DPAK","داروح","ح . کارخانجات داروپخش","IRR1DPAK0106","20230111","1","کارخانجات داروپخش","A","N2","NO","5","43","4323","400"
"2512214120008228","IRO1FSIN0001","FSIN1","Investment Sina","FSIN","سینا","مالی و سرمایه گذاری سینا","IRO1FSIN0008","20230917","1","مالی و سرمایه گذاری سینا","A","N2","NO","5","39","3999","300"
"2589887561569709","IRO1ZMYD0001","ZMYD1","Zamyad","ZMYD","خزامیا","زامیاد","IRO1ZMYD0002","20230918","1","زامیاد","A","N1","NO","3","34","3410","300"
"2696258159590598","IRT3VC120001","VC121","Yek Pishgam VCF-VR","VC12","پیشگام","ص.ج.رشد یکم پیشگام 50%تادیه","IRT3VC120006","20230515","2","ص.س.جسورانه رشد یکم پیشگام","A","T1","NO","4","68","6815","305"
"2705253775088582","IRR1SHPZ0101","SHPX1","W. Azar. Pegah-R","SHPZ","غشاذرح","ح .  پگاه آذربایجان غربی","IRR1SHPZ0105","20200929","1","پگاه آذربایجان غربی","A","N1","NO","3","42","4220","400"
"2736448581569857","IRB3DS010651","DS011","DSanko MRB 270821","DS01","دسانکو06","مرابحه سبحان انکولوژی060530","IRB3DS010654","20230821","2","مرابحه داروسازی سبحان انکولوژی","A","17","NO","4","69","6911","306"
"2786094660320231","IRR3PMTZ0101","PMTX1","Maskan Invest.-R","PMTZ","ثترانح","ح سرمایه گذاری مسکن تهران","IRR3PMTZ0105","20210828","2","سرمایه گذاری مسکن تهران","A","Z1","NO","3","70","7010","403"
"2819110578357790","IRR1SSOF0101","SSOX1","Soufian Cement-R","SSOF","سصوفیح","ح . سیمان  صوفیان","IRR1SSOF0107","20200216","1","سیمان  صوفیان","A","N1","NO","1","53","5394","400"
"2855515398698068","IRR1MRIN0101","MRIX1","Iranmerinos-R","MRIN","نمرینوح","ح . ایران  مرینوس","IRR1MRIN0102","20230809","1","ایران  مرینوس","A","61","NO","5","17","1711","400"
"2888358730233310","IRB3SI2399B1","I23Q1","SOV.IJR2-MLT210206","SI23","اجاد23","اجاره دولتی آپرورش-ملت991118","IRB3SI2399B4","20221212","2","اجاره دولتی آپرورش-ملت991118","A","17","NO","4","69","6942","306"
"2892746204060110","IRR3AFRZ0101","AFRX1","Afra Net Co. -R","AFRZ","افراح","ح. افرانت","IRR3AFRZ0103","20220828","2","افرانت","A","1Z","NO","1","72","7200","403"
"2929948497881810","IRB3SI2599B1","I25Q1","SOV.IJR2-SPH210206","SI25","اجاد25","اجاره دولتی آپرورش-سپهر991118","IRB3SI2599B9","20221212","2","اجاره دولتی آپرورش-سپهر991118","A","17","NO","4","69","6942","306"
"2944500421562364","IRO1TOSA0001","TOSA1","Iran Ind. Dev.","TOSA","وتوصا","گروه س توسعه صنعتی ایران","IRO1TOSA0009","20230917","1","گروه س توسعه صنعتی ایران","A","N1","NO","1","56","5699","300"
"2950378541189013","IRO3KNRZ0001","KNRZ1","Saba Noor","KNRZ","کنور","تأمین مواد اولیه فولاد صبانور","IRO3KNRZ0009","20140125","2","تأمین مواد اولیه فولاد صبانور","A","Z1","NO","1","13","1310","303"
"3019817952865782","IRB3TB750291","TB751","TreasuryBill231127","TB75","اخزا821","اسنادخزانه-م21بودجه98-020906","IRB3TB750292","20220906","2","اسنادخزانه اسلامی-م21بودجه1398","A","I1","NO","4","69","6940","306"
"3037464497437282","IRR1SKER0101","SKEX1","Kerman Cement-R","SKER","سکرماح","ح . سیمان  کرمان","IRR1SKER0103","20180101","1","سیمان  کرمان","A","N1","NO","1","53","5394","400"
"3050342257199174","IRO7NJSP0001","NJSP1","Naghsh Jahan Sugar","NJSP","قنقش","قند نقش جهان","IRO7NJSP0009","20230917","4","قند نقش جهان","A","P1","NO","7","38","3842","309"
"3050805371360862","IRR3ETKZ0101","ETKX1","Iranian Etekai-R","ETKZ","اتکایح","ح . بیمه اتکایی ایرانیان","IRR3ETKZ0100","20210918","2","بیمه اتکایی ایرانیان","A","Z1","NO","3","66","6603","403"
"3083005592739412","IRO5UWCS0001","UWCS1","Urumieh WHT.Cement","UWCS","سفاروم","سیمان سفید ارومیه","IRO5UWCS0000","20180721","2","سیمان سفید ارومیه","A","V1","NO","9","53","5394","313"
"3149396562827132","IRO1LIRZ0001","LIRZ1","Iranian Lizing","LIRZ","وایران","لیزینگ ایرانیان","IRO1LIRZ0007","20230917","1","لیزینگ ایرانیان","A","N1","NO","1","58","5891","300"
"3164894984700505","IRR3ISLZ0101","ISLX1","Iran & hargh Lsg-R","ISLZ","ولشرقح","ح . لیزینگ ایران و شرق","IRR3ISLZ0106","20230502","2","لیزینگ ایران و شرق","A","16","NO","1","58","5891","403"
"3173544097113770","IRO7STNP0001","STNP1","Golestan Petro.","STNP","شستان","پتروشیمی گلستان","IRO7STNP0007","20230917","4","پتروشیمی گلستان","A","P1","NO","7","44","4411","309"
"3203898026678865","IRB3ID0105C1","ID011","IDM MRB270313","ID01","صنایع ایران05","مرابحه قطعات صنایع14051222","IRB3ID0105C7","20230607","2","طراحی و ساخت قطعات صنایع ایران","A","17","NO","4","69","6911","306"
"3231489895425696","IRR3NPSZ0101","NPSX1","NPSZ-R","NPSZ","شپاسح","ح . نفت پاسارگاد","IRR3NPSZ0105","20180721","2","نفت پاسارگاد","A","Z1","NO","3","23","2308","403"
"3236505307755709","IRO3ZF890001","ZF891","Iran Reno. Co.","ZF89","نوسازی صنایع","نوسازی صنایع ایران","IRO3ZF890008","20180721","2","نوسازی صنایع ایران","A","Z1","NO","5","45","4521","303"
"3329167699100936","IRT3VC060001","VC061","RetirementT VCF-VR","VC06","فنابا","ص.س.ج. فناوری بازنشستگی","IRT3VC060004","20230515","2","ص.س.جسورانه فناوری بازنشستگی","A","T1","NO","4","68","6815","305"
"3362850293262749","IRR1DALZ0101","DALX1","Alborz Darou-R","DALZ","دالبرح","ح . البرزدارو","IRR1DALZ0103","20221129","1","البرزدارو","A","N1","NO","1","43","4323","400"
"3370493881245014","IRO6MSKZ98B1","MZ141","Mortgage Right9811","MSKZ","تسه9811","امتیاز تسهیلات مسکن بهمن98","IRO6MSKZ98B8","20230717","2","بانک مسکن","A","M1","NO","4","59","5910","307"
"3388451018224720","IRR1PELC0101","PELX1","Pars Electric-R","PELC","لپارسح","ح . پارس  الکتریک","IRR1PELC0102","20171213","1","پارس  الکتریک","A","N2","NO","5","32","3230","400"
"3407806799514469","IRO3URPZ0001","URPZ1","UrmiaPetrochemical","URPZ","شاروم","پتروشیمی ارومیه","IRO3URPZ0005","20230917","2","پتروشیمی ارومیه","A","1Z","NO","1","44","4412","303"
"3414440373850933","IRO7SNVP0001","SNVP1","Tamin Maskan Co","SNVP","ثنوین","تامین مسکن نوین","IRO7SNVP0003","20180721","2","تامین مسکن نوین","A","P1","NO","7","70","7010","309"
"3426578415893871","IRR7PKBP0101","PKBX1","Amir Kabir Co.-R","PKBP","شکبیرح","ح.پتروشیمی امیرکبیر","IRR7PKBP0105","20190908","4","پتروشیمی امیرکبیر","A","P1","NO","7","44","4411","404"
"3427503698999958","IRR7SOLP0101","SOLX1","Soliran -R","SOLP","فسلیرح","ح.سولیران","IRR7SOLP0106","20200930","4","سولیران","A","L1","NO","7","28","2811","404"
