"insCode","cSecVal","lSecVal","cSoSecVal","lSoSecVal","cValMne","lVal18","cSocCSAC","lSoc30","yMarNSC","yVal","lVal30","lVal18AFC","cIsin","zTitad","baseVol","instrumentID","cgrValCot","cComVal","lastDate","sourceID","flowTitle","cgrValCotTitle"
"26030180117829827","76","اوراق بهادار مبتني بر دارايي فكري","7611","اوراق بهادار مبتني بر دارايي فكري","I0181","Alis Brand","I018","علامت تجاري عاليس","NO","903","علامت تجاري عاليس","علامت عاليس","IRI3I0180005","0.0","0","IRI3I0180001","Z1","5","0","0","","بازار سوم فرابورس"
"26037409125534305","44","محصولات شيميايي","4411","توليد مواد شيميايي پايه به جز كود","PPKP1","test-p","PKBZ","شركت پتروشيمي اميركبير","NO","307","تست پايه","پايه","IRO6PPKP0008","0.0","0","IRO6PPKP0001","P1","1","0","0","","بازار پایه زرد فرابورس"
"26090464295830176","39","شرکتهاي چند رشته اي صنعتي","3999","شركتهاي صنعتي چند رشته اي","NIKX1","Iran N. Inv.-R","NIKI","سرمايه‌گذاري‌ ملي‌ايران‌","NO","400","ح . سرمايه‌گذاري‌ ملي‌ايران‌","ونيكيح","IRR1NIKI0105","0.0","0","IRR1NIKI0101","61","1","0","0","","-'"
"26101163974788298","69","اوراق تامين مالي","6911","صكوك مرابحه","AR021","Actover2MRB280902","AR02","مرابحه اكتوور كو-فارس070612","NO","306","مرابحه اكتوور كو-فارس070612","اكتوور072","IRB3AR020764","0.0","0","IRB3AR020761","17","4","0","0","","-'"
"26114418513020265","43","مواد و محصولات دارويي","4323","توليد داروهاي شيميايي و گياهي","THDR1","Tehran Darou","THDR","داروسازي‌ تهران‌ دارو","NO","300","داروسازي‌ تهران‌ دارو","دتهران","IRO1THDR0006","0.0","0","IRO1THDR0001","N2","5","0","0","","بازار دوم بورس"
"26116715759675796","69","اوراق تامين مالي","6911","صكوك مرابحه","MEGQ1","Mega Motor20%","MEGZ","مرابحه مگاموتور 3 ماهه 20 درصد","NO","306","مرابحه مگاموتور 3 ماهه 20 درصد","صمگا","IRB3MEGZ95A6","0.0","0","IRB3MEGZ95A1","Z1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"26142199530487668","34","خودرو و ساخت قطعات","3430","قطعات يدكي و جانبي وسايل نقليه موتوري","RINX1","Mashad Wheel-R","RINM","رينگ‌سازي‌مشهد","NO","400","ح . رينگ‌سازي‌مشهد","خرينگح","IRR1RINM0102","0.0","0","IRR1RINM0101","N1","3","0","0","","بازار اول (تابلوی فرعی) بورس"
"26186730535085742","77","فعالبت هاي اجاره و ليزينگ","7710","اجاره و ليزينگ وسائط نقليه موتوري","TOMZ1","Tom Co.","TOMZ","تأمين ماشين آلات ساختماني نصب","NO","303","حذف-ماشين آلات ساختماني نصب","تامكو","IRO3TOMZ0004","0.0","0","IRO3TOMZ0001","Z1","5","0","0","","بازار سوم فرابورس"
"26257365377629881","70","انبوه سازي، املاك و مستغلات","7010","املاك و مستغلات با ملك خود يا ليزينگ شده","SAJX1","Sakht Ajand-R","SAJN","سخت‌ آژند","NO","400","ح . سخت‌ آژند","ثاژنح","IRR1SAJN0104","0.0","0","IRR1SAJN0101","N2","5","0","0","","بازار دوم بورس"
"26259366519412975","01","زراعت و خدمات وابسته","140","كشاورزي و خدمات دامپروري جز دامپزشكي","ZMMZ1","Zagros Meat & Milk","ZMMZ","شير و گوشت زاگرس شهركرد","NO","303","شير و گوشت زاگرس شهركرد","زشگزا","IRO3ZMMZ0008","0.0","0","IRO3ZMMZ0001","1Z","1","0","0","","بازار اول فرابورس"
"26314668128957507","43","مواد و محصولات دارويي","4323","توليد داروهاي شيميايي و گياهي","DKSX1","Kowsar Pharm.-R","DKSR","داروسازي‌ كوثر","NO","400","ح . داروسازي‌ كوثر","دكوثرح","IRR1DKSR0104","0.0","0","IRR1DKSR0101","N1","1","0","0","","بازار اول (تابلوی اصلی) بورس"
"26316376625263940","72","رايانه و فعاليت‌هاي وابسته به آن","7220","مشاوره و تهيه نرم افزار","PYPD1","Pasargad Payment","PYPD","پرداخت الكترونيك پاسارگاد","NO","300","پرداخت الكترونيك پاسارگاد","پي پاد","IRO1PYPD0001","0.0","0","IRO1PYPD0001","N2","5","0","0","","بازار دوم بورس"
"26334665207205408","69","اوراق تامين مالي","6921","اوراق مشاركت شهرداري ها","GLAQ1","Golan company","GLAN","%مشاركت گولان سقز سه ماهه 20","NO","306","%مشاركت گولان سقز سه ماهه 20","گولان","IRB3GLAN94C1","0.0","0","IRB3GLAN94C1","Z1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"26346284945643324","54","ساير محصولات كاني غيرفلزي","5495","توليد محصولات بتني، سيماني و گچ","SPEX1","Persit-R","SPER","پرسيت","NO","400","ح . پرسيت","سپرسيح","IRR1SPER0108","0.0","0","IRR1SPER0101","N4","4","0","0","","بازار چهارم بورس"
"26352122361745211","27","فلزات اساسي","2710","توليد آهن و فولاد پايه","GIRX1","GhadirIranianIronR","GIRZ","آهن و فولاد غدير ايرانيان","NO","403","ح.آهن و فولاد غدير ايرانيان","فغديرح","IRR3GIRZ0104","0.0","0","IRR3GIRZ0101","1Z","1","0","0","","بازار اول فرابورس"
"26374092711577980","40","عرضه برق، گاز، بخاروآب گرم","4010","توليد انتقال و توزيع نيروي برق","BKRP1","Kerman P. Gen.","BKRP","توليد نيروي برق كرمان","NO","309","توليد نيروي برق كرمان","بكرما","IRO7BKRP0001","0.0","0","IRO7BKRP0001","P1","7","0","0","","بازار پایه زرد فرابورس"
"26394236240671710","57","بانكها و موسسات اعتباري","5719","ساير  واسطه هاي پولي","MEBD1","Bonyad F. & C.","MEBD","مالي‌واعتباري‌بنياد","NO","300","مالي‌واعتباري‌بنياد","وبنياد","IRO1MEBD0004","0.0","0","IRO1MEBD0001","N4","4","0","0","","بازار چهارم بورس"
"26394712225370902","69","اوراق تامين مالي","6945","اوراق مرابحه دولتي با ضمانت دولت","O0261","SOV.GMR124SP240421","O026","مرابحه عام دولت124-ش.خاص0302","NO","706","مرابحه عام دولت124-ش.خ030202","اراد124","IRB4O0260321","0.0","0","IRB4O0260321","17","4","0","0","","-'"
