"insCode","dEven","daily"
"10339760823334065","20221212","20230917"
"10373878913940603","20081126","20230917"
"10411249540376641","20230917","20230917"
"10411612959317157","20180721","20230917"
"10455424349923115","20230607","20230917"
"10465655034123314","20230904","20230917"
"10473034674181024","20081126","20230917"
"10497143354080476","20230917","20230917"
"10523825119011581","20171213","20230917"
"10549251453298737","20171213","20230917"
"10568944722570445","20230918","20230917"
"10573071518775932","20221212","20230917"
"10574526790623372","20210630","20230917"
"10587006028472176","20230917","20230917"
"10623013976366443","20230607","20230917"
"10625146599769364","20100411","20230917"
"10654052153538617","20230917","20230917"
"10677799813511467","20220828","20230917"
"10681482576452029","20210908","20230917"
"10716103455591194","20100411","20230917"
"10741091548027385","20220516","20230917"
"10795723506538053","20230227","20230917"
"10798437072200045","20081126","20230917"
"10809498866396719","20081126","20230917"
"10814280156273322","20211009","20230917"
"10831074117626896","20230917","20230917"
"10831551130410639","20180721","20230917"
"10836368596667625","20210919","20230917"
"10843114830116591","20230917","20230917"
"10915288223616741","20180721","20230917"
"10919655792568926","20230729","20230917"
"10927368312505584","20150526","20230917"
"11006334882585136","20180721","20230917"
"11010540557851339","20081126","20230917"
"11013227010066353","20171213","20230917"
"11019264549255051","20221212","20230917"
"11048663299859339","20180721","20230917"
"11069747713632889","20230607","20230917"
"11076376841181452","20180721","20230917"
"11091856606007867","20151220","20230917"
"11094450445938216","20170419","20230917"
"11129387075131725","20230917","20230917"
"11153816896542438","20140824","20230917"
"11183410572675415","20180403","20230917"
"11188958204590313","20180721","20230917"
"11214189898887899","20180721","20230917"
"11230672983336728","20170304","20230917"
"11258722998911897","20230917","20230917"
"11278802993290837","20181117","20230917"
"11282920140235578","20160210","20230917"
"11285885633824855","20230227","20230917"
"11301273980316268","20230515","20230917"
"11332953223903902","20200526","20230917"
"11358107932902023","20230917","20230917"
"11362390613365284","20221212","20230917"
"11366731312084325","20081126","20230917"
"11367410317554900","20170419","20230917"
"11372565594192822","20230130","20230917"
"11373255655518380","20221212","20230917"
"11385948838337592","20230826","20230917"
"11403770140000603","20230917","20230917"
"11427939669935844","20221119","20230917"
"11431849672850123","20170412","20230917"
"11432067920374603","20230917","20230917"
"11451389074113298","20171212","20230917"
"11452654295102268","20180721","20230917"
"11560002870991149","20230917","20230917"
"11599352365626742","20190907","20230917"
"11622051128546106","20230917","20230917"
"11640540339380126","20190714","20230917"
"11732381106047822","20140721","20230917"
"11773403764702778","20230917","20230917"
"11783645702846141","20140727","20230917"
"11800678942469896","20230607","20230917"
"11827297444577200","20230917","20230917"
"11874252353466469","20210918","20230917"
"11927496285559135","20221212","20230917"
"11929836650963758","20100411","20230917"
"11936058301634784","20190113","20230917"
"11964419322927535","20230917","20230917"
"11982429911960831","20170125","20230917"
"11983309826062040","20230607","20230917"
"12004613727363965","20220906","20230917"
"12021113328712802","20180721","20230917"
"12030217243155821","20230820","20230917"
"12041217376571987","20220730","20230917"
"12066101019489029","20220418","20230917"
"12088545433107773","20171213","20230917"
"12089903491411130","20230717","20230917"
"12098305247593017","20230607","20230917"
"12102661826147720","20180721","20230917"
"12176957670146141","20081126","20230917"
"12230571636239922","20210202","20230917"
"12231544096052404","20171213","20230917"
"12285081244484140","20230917","20230917"
"12303918642491681","20230917","20230917"
"12312830088396058","20081126","20230917"
"12325948714115825","20221212","20230917"
"12329519546621752","20230917","20230917"
